customer_id,name,email,signup_date,country,marketing_source
1,Scott Reed,tiffanyhart@example.net,1980-12-23,India,Organic
2,Kathy Stafford,qwarren@example.org,1984-08-28,China,Google Ads
3,Patricia Santiago,icooper@example.org,2018-07-12,USA,Referral
4,Jackie Lynch,richardsaaron@example.com,2011-10-21,UK,Facebook Ads
5,Joshua Byrd,edwardnelson@example.org,2004-07-23,Canada,Referral
6,Paul Ortiz,kimberly27@example.org,2007-01-28,Canada,Facebook Ads
7,Christina Cummings,danielle90@example.net,1976-04-18,UK,Organic
8,Steven Cook,williamskeith@example.org,1973-10-24,USA,Instagram
9,Alicia Murphy,jonathanwelch@example.org,1998-02-02,China,Google Ads
10,Jeremy Hernandez,rodriguezsara@example.net,1979-03-29,Canada,Organic
11,Jacob Garcia,mary56@example.org,1991-01-27,Germany,Facebook Ads
12,Janice Lutz,langjulie@example.net,1984-01-06,Japan,Google Ads
13,Amber Smith,zmueller@example.org,1974-12-21,China,Instagram
14,Kyle Avery,watsondavid@example.net,1972-04-30,Canada,Google Ads
15,Melinda Gomez,wflowers@example.com,1991-04-09,India,Google Ads
16,Sara Carter,vincentcastillo@example.com,1999-01-25,USA,Facebook Ads
17,Cynthia Miller,bross@example.net,2024-03-11,China,Google Ads
18,Craig Heath,alvarezlisa@example.com,2010-08-22,China,Instagram
19,Brian Wallace,lynchelizabeth@example.com,1998-01-19,Germany,Organic
20,Heather Smith,paulmathews@example.org,2002-10-11,UK,Google Ads
21,Martha Davis,tpatel@example.org,1998-12-13,China,Referral
22,Scott Harris,meganwalter@example.com,1982-09-12,UK,Google Ads
23,Derek Richardson,markdelacruz@example.org,1984-01-22,UK,Instagram
24,Elizabeth Schwartz,jjackson@example.com,1985-05-24,Japan,Organic
25,Phillip Gutierrez,hsantana@example.net,2005-06-29,Japan,Organic
26,Andrew Brown,lobrien@example.com,1982-05-17,Canada,Google Ads
27,James Lopez,jessica92@example.net,1973-06-30,India,Email Campaign
28,Austin Palmer,melissa97@example.net,1991-11-19,India,Referral
29,Jason Goodwin,erica57@example.com,1986-01-14,China,Google Ads
30,Kevin Wallace,jbeasley@example.net,2025-02-18,USA,Google Ads
31,Andrew Sawyer,bgarcia@example.com,1985-07-10,China,Referral
32,Lori Thomas,aaron42@example.net,1989-05-30,India,Instagram
33,Tyler Carlson,bryan66@example.org,1975-12-10,Japan,Google Ads
34,Brenda Hernandez,johnblair@example.net,1995-09-10,UK,Google Ads
35,Mikayla Parker,ronaldroberts@example.net,2020-03-16,Germany,Organic
36,Earl Hughes,james07@example.net,1970-12-25,Germany,Facebook Ads
37,Michael Lane,vwelch@example.org,2003-08-13,China,Instagram
38,David Ruiz,carlos84@example.net,2013-01-29,China,Instagram
39,Lisa Ward,dwalls@example.com,1973-01-17,USA,Email Campaign
40,Sharon Clark,hwilliams@example.com,2000-07-20,India,Facebook Ads
41,Vickie Guzman,susanmerritt@example.net,1986-07-06,USA,Referral
42,Kirsten Miller,vincentjones@example.org,1997-03-03,UK,Google Ads
43,Glenn Alvarez,brendabaldwin@example.net,2019-07-29,Japan,Email Campaign
44,Benjamin Barber,curryrachael@example.net,2015-09-07,USA,Google Ads
45,Anthony Munoz,amy51@example.org,1975-11-11,Germany,Organic
46,Richard Ballard,masontricia@example.com,1983-03-05,Canada,Facebook Ads
47,James Moore,michaelferguson@example.net,2024-10-14,Canada,Organic
48,Ashley Hernandez,jacob96@example.org,2013-03-24,UK,Instagram
49,Katherine Pratt,wcollins@example.com,2003-04-12,India,Referral
50,Andrea Johnson,ztran@example.com,1978-06-20,USA,Referral
51,Lawrence Rivera,thomasthomas@example.com,1996-02-14,Canada,Instagram
52,Alice Hill,gentryjacqueline@example.com,2017-01-13,Germany,Email Campaign
53,Mrs. Catherine Richardson,vincent19@example.net,1988-02-26,India,Instagram
54,Joshua Mejia,johnsonjavier@example.org,1981-03-01,India,Google Ads
55,Andrew Rush,bmitchell@example.net,1977-10-04,India,Email Campaign
56,John Davis,brianconner@example.org,1976-02-26,China,Organic
57,Kevin Brown,gregory15@example.net,2004-03-23,Canada,Organic
58,Andrea Payne,fostersara@example.com,2021-08-11,Germany,Google Ads
59,Angel Floyd,christopher68@example.net,2018-09-30,India,Google Ads
60,Nicole Powell,nbrown@example.org,1995-10-05,Canada,Facebook Ads
61,Ashley Murray,ann96@example.net,2013-09-12,India,Instagram
62,Michael Perkins,tmccall@example.org,2017-11-02,UK,Referral
63,Sheri Flores,kathleenhobbs@example.net,1994-03-03,Germany,Instagram
64,Jessica Butler,davisshawn@example.com,2024-05-10,Canada,Instagram
65,Sharon Cole DDS,schmidtcassandra@example.net,2022-01-19,India,Instagram
66,Stephen Schneider,john45@example.com,1978-12-10,India,Email Campaign
67,Craig Dominguez,lauren67@example.net,1979-03-18,UK,Facebook Ads
68,Alyssa Mccann,elizabethclarke@example.org,1977-03-07,Canada,Referral
69,Michael Nichols,velazquezbrian@example.net,1998-02-13,Japan,Organic
70,Christina Silva,cherylball@example.net,1976-02-12,UK,Instagram
71,Steven Miller,michael49@example.org,1977-12-19,India,Email Campaign
