customer_id,name,email,signup_date,country,marketing_source
10439,Jacob Edwards,matthewgarcia@example.net,2026-03-12,USA,Facebook Ads
10440,Dr. Christopher Castillo,rodriguezmichael@example.net,2026-03-12,India,Facebook Ads
10441,Andrea Navarro,swoods@example.org,2026-03-12,USA,Facebook Ads
10442,Eric Reynolds,nicholaslawrence@example.org,2026-03-12,India,Referral
10443,Edward Collier,schneiderdebra@example.net,2026-03-12,India,Google Ads
10444,Amanda Morrison,josealexander@example.org,2026-03-12,China,Instagram
10445,Regina Smith,mpadilla@example.com,2026-03-12,China,Instagram
10446,Reginald Davis,christopherevans@example.com,2026-03-12,India,Email Campaign
10447,Joshua Jones,cookjulie@example.com,2026-03-12,China,Organic
10448,Edward Davis,jonesmatthew@example.net,2026-03-12,Canada,Facebook Ads
10449,Justin Richards,andrew12@example.org,2026-03-12,Canada,Instagram
10450,Mary Jones,jason19@example.com,2026-03-12,Japan,Referral
10451,Teresa Garrett,ustewart@example.net,2026-03-12,Germany,Referral
10452,Laura Allen,jyang@example.com,2026-03-12,UK,Facebook Ads
10453,William Lindsey,averyamy@example.com,2026-03-12,UK,Organic
10454,Tanya Stokes,dtrujillo@example.com,2026-03-12,Germany,Google Ads
10455,Toni Barnes,ginashepard@example.net,2026-03-12,Canada,Instagram
10456,David Nunez,sherry28@example.net,2026-03-12,UK,Google Ads
10457,Danny Bryant,galvanleslie@example.net,2026-03-12,Canada,Facebook Ads
10458,Margaret Maddox,forddenise@example.com,2026-03-12,UK,Facebook Ads
10459,Pamela Hood,ryan98@example.com,2026-03-12,India,Organic
10460,John Thomas,allison04@example.net,2026-03-12,Japan,Instagram
10461,Kyle Medina,ucarter@example.net,2026-03-12,India,Referral
10462,Michael Doyle,darrell28@example.com,2026-03-12,Japan,Instagram
10463,Michelle Campos,andersonsummer@example.net,2026-03-12,India,Google Ads
10464,Jennifer Guzman,michael28@example.net,2026-03-12,USA,Facebook Ads
10465,Kent Walton,nancy32@example.com,2026-03-12,Germany,Email Campaign
10466,Adrian Watson,patricialozano@example.com,2026-03-12,Canada,Instagram
10467,David Allen,dyerscott@example.com,2026-03-12,India,Organic
10468,Rachel Hall,jennifer07@example.net,2026-03-12,UK,Google Ads
10469,Erica Mclaughlin,inixon@example.net,2026-03-12,China,Organic
10470,Julie West,joshuafisher@example.net,2026-03-12,China,Google Ads
10471,Stephanie Garcia,ramirezdavid@example.org,2026-03-12,India,Referral
